95,"YOU GON’ LEARN (FEAT. ROYCE DA 5'9"" & WHITE GOLD)",Eminem,7157402,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
96,BELLAQUITA - REMIX,Dalex,7088433,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
97,BLUE WORLD,Mac Miller,7060589,https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5
98,BRUISES,Lewis Capaldi,6974505,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
99,SUCKER,Jonas Brothers,6937517,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
100,NEVER SEEN THE RAIN,Tones And I,6874407,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
101,WOW.,Post Malone,6863575,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
102,ROBBERY,Juice WRLD,6862670,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
103,ME & UR GHOST,blackbear,6855763,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
104,BELIEVER,Imagine Dragons,6786103,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
105,KEIN WORT,Juju,6784726,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
106,QUIZAS,Rich Music LTD,6783458,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
107,WOAH,Lil Baby,6764347,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
108,INDECISO,Reik,6652845,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
109,GOOD AS HELL (FEAT. ARIANA GRANDE) - REMIX,Lizzo,6645732,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
110,OCEAN EYES,Billie Eilish,6591565,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
111,ROCKSTAR (FEAT. 21 SAVAGE),Post Malone,6571776,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
112,LIGHTS UP,Harry Styles,6567127,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
113,FML,Arizona Zervas,6500612,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
115,BOHEMIAN RHAPSODY - 2011 MIX,Queen,6447852,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
116,LIBERDADE PROVISÓRIA,Henrique & Juliano,6442626,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg
117,MONEY IN THE GRAVE (DRAKE FT. RICK ROSS),Drake,6388146,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
118,ALL THE GOOD GIRLS GO TO HELL,Billie Eilish,6382875,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
119,UNACCOMMODATING (FEAT. YOUNG M.A),Eminem,6374807,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM
120,BREAK MY STRIDE,Matthew Wilder,6324190,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
121,PIECE OF YOUR HEART,MEDUZA,6319342,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
122,SHAPE OF YOU,Ed Sheeran,6280752,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
123,MEAN IT,Lauv,6192481,https://open.spotify.com/track/2uiOyiRxtNix52dpeaDQPM
124,SI TE VAS,Sech,6192038,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
125,SUM 2 PROVE,Lil Baby,6182599,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
126,TRUTH HURTS,Lizzo,6168230,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
127,GET YOU THE MOON (FEAT. SNØW),Kina,6124786,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
128,GOODMORNINGTOKYO!,TOKYO’S REVENGE,6123388,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
129,DONUTS,Gzuz,6113037,https://open.spotify.com/track/2nNGV59DJJwk7D5ImGf6uc
130,SAD!,XXXTENTACION,6086732,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
131,SICKO MODE,Travis Scott,6038494,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
132,TUTU,Camilo,5990495,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
133,DANCING WITH A STRANGER (WITH NORMANI),Sam Smith,5980185,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
134,HATE ME (WITH JUICE WRLD),Ellie Goulding,5973665,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
